OBJECTID,ZIP Code,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_1,ZIPX,c_places,Cases_1,LabelY,Shape__Area,Shape__Length
310,32610,612,1,Alachua,Alachua-32610,Gainesville,Gainesville,9,Alachua-32610,Gainesville,71,71,4.34595353908662E-05,0.0408945723733889
311,32611,613,1,Alachua,Alachua-32611,Gainesville,Gainesville,10,Alachua-32611,"Gainesville, University Of Fl",354,354,0.00036099369481235,0.122380765105926
312,32615,615,1,Alachua,Alachua-32615,Alachua,"Alachua, High Springs, Newberry, Worthington Springs, La Crosse",11,Alachua-32615,"Alachua, Santa Fe, Winter Park",1108,1108,0.0344436575041982,1.29409923831731
313,32617,619,42,Marion,Marion-32617,Anthony,Anthony,635,Marion-32617,Anthony,254,254,0.00787667364284061,0.625643841127592
314,32618,620,1,Alachua,Alachua-32618,Archer,"Archer, Newberry",12,Alachua-32618,Archer,369,369,0.0169756601515019,0.76534624470468
315,32618,621,38,Levy,Levy-32618,Archer,"Newberry, East Bronson",589,Levy-32618,Archer,21,21,0.00426182747651183,0.501788705475413
316,32619,623,21,Gilchrist,Gilchrist-32619,Bell,Bell,376,Gilchrist-32619,Bell,402,402,0.0307353916805369,1.19398421038362
317,32621,626,38,Levy,Levy-32621,Bronson,"Bronson, Otter Creek, East Bronson, Williston Highlands",590,Levy-32621,Bronson,541,541,0.0318882344674876,1.31807904851319
318,32622,627,1,Alachua,Alachua-32622,Brooker,La Crosse,13,Alachua-32622,Brooker,<5,-2,0.00199839616129793,0.469213264859356
319,32622,628,4,Bradford,Bradford-32622,Brooker,"Brooker, Worthington Springs",45,Bradford-32622,Brooker,95,95,0.0173887045316405,0.871298566029963
320,32625,630,38,Levy,Levy-32625,Cedar Key,Cedar Key,591,Levy-32625,Cedar Key,84,84,0.0197909587759568,4.16968269780751
321,32626,633,38,Levy,Levy-32626,Chiefland,"Fanning Springs, Chiefland, Otter Creek, Andrews, Manatee Road",592,Levy-32626,Chiefland,644,644,0.0786870608374102,2.87951036788747
322,32628,634,15,Dixie,Dixie-32628,Cross City,Cross City,297,Dixie-32628,Cross City,790,790,0.00676693220179914,0.528729945771189
323,32631,635,1,Alachua,Alachua-32631,Earleton,Earleton,14,Alachua-32631,Earleton,24,24,0.0032211737450325,0.425044209454536
324,32640,638,1,Alachua,Alachua-32640,Hawthorne,Hawthorne,15,Alachua-32640,"Cross Creek, Hawthorne",482,482,0.040502777670099,1.58025330524303
325,32640,640,54,Putnam,Putnam-32640,Hawthorne,Hawthorne,952,Putnam-32640,"Hawthorne, Interlachen",22,22,0.0207473333352937,0.845965315436469
326,32641,641,1,Alachua,Alachua-32641,Gainesville,Gainesville,16,Alachua-32641,Gainesville,1196,1196,0.013055272540214,0.700876693303381
327,32643,642,1,Alachua,Alachua-32643,High Springs,"Alachua, High Springs, Newberry",17,Alachua-32643,High Springs,667,667,0.0140203582584491,0.856138804207129
328,32643,643,12,Columbia,Columbia-32643,High Springs,High Springs,209,Columbia-32643,High Springs,<5,-2,0.00334453462210149,0.685607768838954
329,32643,644,21,Gilchrist,Gilchrist-32643,High Springs,"Newberry, Spring Ridge",377,Gilchrist-32643,High Springs,17,17,0.00771229127303741,0.529057714111564
330,32648,645,15,Dixie,Dixie-32648,Horseshoe Beach,Horseshoe Beach,298,Dixie-32648,Horseshoe Beach,26,26,0.0281247905181772,1.92465609493542
331,32653,646,1,Alachua,Alachua-32653,Gainesville,"Alachua, Gainesville, La Crosse",18,Alachua-32653,Gainesville,708,708,0.0095184321155557,0.689959798107165
332,32656,648,4,Bradford,Bradford-32656,Keystone Heights,Keystone Heights,46,Bradford-32656,Keystone Heights,7,7,0.00123919921907145,0.36589884950315
333,32656,649,10,Clay,Clay-32656,Keystone Heights,Keystone Heights,179,Clay-32656,Keystone Heights,909,909,0.0307242755807238,1.0162807021777
334,32666,651,1,Alachua,Alachua-32666,Melrose,Melrose,19,Alachua-32666,Melrose,<5,-2,0.00140465511367438,0.30842876086402
335,32666,652,4,Bradford,Bradford-32666,Melrose,Melrose,47,Bradford-32666,Melrose,<5,-2,0.000833116627063646,0.26659713868491
336,32666,653,10,Clay,Clay-32666,Melrose,Keystone Heights,180,Clay-32666,Melrose,<5,-2,0.00250866841065545,0.538105715294422
337,32666,654,54,Putnam,Putnam-32666,Melrose,Melrose,953,Putnam-32666,Melrose,277,277,0.00799446293490291,0.55719325637204
338,32667,655,1,Alachua,Alachua-32667,Micanopy,"Micanopy, McIntosh",20,Alachua-32667,Micanopy,176,176,0.0178984460867468,1.17202091910294
339,32667,657,42,Marion,Marion-32667,Micanopy,McIntosh,637,Marion-32667,Micanopy,<5,-2,0.00993259798292456,0.686602564472682
340,32668,658,38,Levy,Levy-32668,Morriston,"Morriston, Williston Highlands",593,Levy-32668,Morriston,235,235,0.0283967888849475,1.14384617812814
341,32668,659,42,Marion,Marion-32668,Morriston,Morriston,638,Marion-32668,Morriston,<5,-2,0.00511753270416193,0.596495302437266
342,32669,660,1,Alachua,Alachua-32669,Newberry,Newberry,21,Alachua-32669,"Jonesville, Maitland, Newberry, Orlando, Tioga",1120,1120,0.0207767846468414,0.804551534332308
343,32669,661,21,Gilchrist,Gilchrist-32669,Newberry,Newberry,378,Gilchrist-32669,"Newberry, Trenton",7,7,0.00312581935895651,0.463812111888458
344,32669,662,38,Levy,Levy-32669,Newberry,Newberry,594,Levy-32669,Newberry,<5,-2,0.000323319737390193,0.171014152763857
345,32680,663,15,Dixie,Dixie-32680,Old Town,Fanning Springs,299,Dixie-32680,Old Town,610,610,0.112062676505047,3.75187608831072
346,32686,670,42,Marion,Marion-32686,Reddick,Reddick,639,Marion-32686,"Flemington, Irvine, Reddick",309,309,0.0206947008960015,1.23974837272007
347,32693,673,21,Gilchrist,Gilchrist-32693,Trenton,"Fanning Springs, Trenton",379,Gilchrist-32693,"Fanning Springs, Trenton",944,944,0.0358090057077334,1.46084462451983
348,32693,674,38,Levy,Levy-32693,Trenton,"Fanning Springs, Andrews, Manatee Road",595,Levy-32693,"Bronson, Fanning Springs, Trenton",17,17,0.0110465942909741,0.917338444923172
349,32694,675,1,Alachua,Alachua-32694,Waldo,Waldo,22,Alachua-32694,Waldo,91,91,0.00669226990180505,0.547955299051732
350,32696,678,38,Levy,Levy-32696,Williston,"Williston, East Bronson, East Williston, Raleigh, Williston Highlands",596,Levy-32696,Williston,1024,1024,0.0277179227957731,0.971849614388975
351,32696,679,42,Marion,Marion-32696,Williston,East Williston,640,Marion-32696,Williston,5,5,0.00564694837635216,0.581699763625441
352,32701,680,59,Seminole,Seminole-32701,Altamonte Springs,"Altamonte Springs, Longwood, Casselberry, Fern Park",992,Seminole-32701,"Altamonte Springs, Apopka, Orlando, Winter Garden, Winter Park",1491,1491,0.00143234149072669,0.173948448020295
353,32702,681,35,Lake,Lake-32702,Altoona,"Umatilla, Altoona, Pittman",513,Lake-32702,Altoona,176,176,0.0179477547815168,0.795752432447449
354,32702,682,42,Marion,Marion-32702,Altoona,Altoona,641,Marion-32702,Altoona,<5,-2,0.00340839859495645,0.432393565113067
355,32703,683,48,Orange,Orange-32703,Apopka,"Apopka, Ocoee, Clarcona, Forest City, Lockhart, Paradise Heights, South Apopka, Wekiwa Springs",705,Orange-32703,"Apopka, Forest City, Winter Park",3609,3609,0.00906270610312276,0.736955455772567
356,32703,684,59,Seminole,Seminole-32703,Apopka,"Forest City, Lockhart, Wekiwa Springs",993,Seminole-32703,"Apopka, Forest City, Orlando",113,113,0.000870293300749836,0.133846694425453
357,32707,685,59,Seminole,Seminole-32707,Casselberry,"Altamonte Springs, Longwood, Casselberry, Winter Springs, Fern Park",994,Seminole-32707,"Apopka, Casselberry, Maitland, Orlando, Winter Park",2181,2181,0.00255541213891775,0.323575548821057
358,32708,686,59,Seminole,Seminole-32708,Winter Springs,"Oviedo, Longwood, Casselberry, Winter Springs, Black Hammock",995,Seminole-32708,"Casselberry, Maitland, Orlando, Winter Park, Winter Springs",2696,2696,0.00506580755745745,0.495059002971369
359,32709,688,48,Orange,Orange-32709,Christmas,"Bithlo, Christmas, Wedgefield",706,Orange-32709,Christmas,114,114,0.0356503868447362,1.49447146883135
360,32712,692,48,Orange,Orange-32712,Apopka,"Apopka, Mount Plymouth, Wekiwa Springs, Zellwood",707,Orange-32712,"Apopka, Orlando",3059,3059,0.0150476959925072,0.659091871588576
361,32713,696,64,Volusia,Volusia-32713,Debary,"DeBary, Deltona, Orange City",1085,Volusia-32713,"Debary, Orlando",1144,1144,0.00522282980978162,0.433626433886257
362,32714,698,59,Seminole,Seminole-32714,Altamonte Springs,"Altamonte Springs, Forest City, Lockhart, Wekiwa Springs",996,Seminole-32714,"Altamonte Springs, Apopka, Forest City, Lake Mary, Maitland, Orlando, Winter Park",2509,2509,0.0021380520108778,0.222399049857305
363,32720,699,35,Lake,Lake-32720,Deland,"Lake Kathryn, Lake Mack-Forest Hills",514,Lake-32720,Deland,<5,-2,0.0096362896977098,0.897295096097569
364,32720,701,64,Volusia,Volusia-32720,Deland,"DeLand, Orange City, DeLand Southwest, De Leon Springs, North DeLand, West DeLand",1086,Volusia-32720,"Apopka, Deland",1950,1950,0.0151388454710286,0.910812872959364
365,32724,702,64,Volusia,Volusia-32724,Deland,"Lake Helen, DeLand, DeLand Southwest, De Leon Springs, North DeLand",1087,Volusia-32724,"Deland, Maitland, Orlando",2348,2348,0.0259917108312493,1.36678967812215
366,32725,704,64,Volusia,Volusia-32725,Deltona,"DeBary, DeLand, Deltona, Orange City",1088,Volusia-32725,"Daytona Beach, Deltona, Enterprise, Maitland, Orlando",2985,2985,0.00872106180463561,0.641067891860713
367,32726,705,35,Lake,Lake-32726,Eustis,"Tavares, Eustis, Mount Dora",515,Lake-32726,"Eustis, Maitland, Winter Park",1538,1538,0.00510082291702929,0.482693629984887
368,32730,706,59,Seminole,Seminole-32730,Casselberry,"Altamonte Springs, Casselberry, Fern Park",997,Seminole-32730,"Casselberry, Fern Park, Sanford",380,380,0.000359476161747807,0.108046387768639
369,32732,707,59,Seminole,Seminole-32732,Geneva,"Black Hammock, Geneva",998,Seminole-32732,"Geneva, Orlando",239,239,0.0148650714261294,0.771656312787743
370,32735,709,35,Lake,Lake-32735,Grand Island,Eustis,516,Lake-32735,Grand Island,302,302,0.002380091330906,0.335972557505573
371,32736,710,35,Lake,Lake-32736,Eustis,"Eustis, Mount Dora, Pine Lakes",517,Lake-32736,Eustis,550,550,0.0222860856115403,1.19066921622987
372,32738,711,64,Volusia,Volusia-32738,Deltona,"Lake Helen, Deltona",1089,Volusia-32738,"Daytona Beach, Deltona, Orlando",2695,2695,0.00700724071748482,0.562360722274794
373,32744,712,64,Volusia,Volusia-32744,Lake Helen,"Lake Helen, DeLand, Deltona",1090,Volusia-32744,Lake Helen,148,148,0.00328894988933826,0.317816070572198
374,32746,715,59,Seminole,Seminole-32746,Lake Mary,"Sanford, Lake Mary, Heathrow",999,Seminole-32746,"Apopka, Heathrow, Lake Mary, Maitland, Orlando",2491,2491,0.00512199749914544,0.48039055568005
375,32750,716,59,Seminole,Seminole-32750,Longwood,"Altamonte Springs, Lake Mary, Longwood, Casselberry, Winter Springs, Wekiwa Springs",1000,Seminole-32750,"Longwood, Sanford",1421,1421,0.00278891531161207,0.315723583493483
376,32751,717,48,Orange,Orange-32751,Maitland,"Altamonte Springs, Eatonville, Maitland, Casselberry, Winter Park, Fairview Shores, Fern Park",708,Orange-32751,"Eatonville, Maitland",1581,1581,0.00148718162131445,0.241670533224123
377,32751,718,59,Seminole,Seminole-32751,Maitland,"Altamonte Springs, Casselberry, Winter Park, Fern Park",1001,Seminole-32751,"Eatonville, Maitland",77,77,0.000453821098517437,0.219436833419723
378,32754,719,5,Brevard,Brevard-32754,Mims,Mims,48,Brevard-32754,Mims,398,398,0.0206551415828926,0.671827010941348
379,32754,721,64,Volusia,Volusia-32754,Mims,Mims,1091,Volusia-32754,Mims,<5,-2,0.0116658742294931,0.782662135446383
380,32757,722,35,Lake,Lake-32757,Mount Dora,"Tavares, Eustis, Mount Dora",518,Lake-32757,"Apopka, Mount Dora, Zellwood",1797,1797,0.00760724479459896,0.739557074976961
381,32757,723,48,Orange,Orange-32757,Mount Dora,"Mount Dora, Tangerine, Zellwood",709,Orange-32757,Mount Dora,14,14,0.0117161303601279,0.566805583910474
382,32759,725,64,Volusia,Volusia-32759,Oak Hill,"Edgewater, Oak Hill",1092,Volusia-32759,Oak Hill,139,139,0.00986903078751311,0.63769048445292
383,32763,727,64,Volusia,Volusia-32763,Orange City,"DeBary, DeLand, Deltona, Orange City",1093,Volusia-32763,Orange City,1481,1481,0.00570354400861106,0.445619463533781
384,32764,729,64,Volusia,Volusia-32764,Osteen,Deltona,1094,Volusia-32764,Osteen,135,135,0.0269570426003156,1.48921749694015
385,32765,731,59,Seminole,Seminole-32765,Oviedo,"Oviedo, Winter Springs, Black Hammock",1002,Seminole-32765,"Apopka, Maitland, Orlando, Ovido, Oviedo, University Of Central Fl, Windermere",3737,3737,0.00984850580903185,0.679104549261006
386,32766,733,59,Seminole,Seminole-32766,Oviedo,"Oviedo, Chuluota",1003,Seminole-32766,"Chuluota, Orlando, Oviedo",848,848,0.0113151144169024,0.728672792970211
387,32767,735,35,Lake,Lake-32767,Paisley,"Lake Kathryn, Paisley",519,Lake-32767,Paisley,113,113,0.0147493598162782,0.869269963168056
388,32771,738,59,Seminole,Seminole-32771,Sanford,"Sanford, Lake Mary, DeBary, Heathrow, Midway",1004,Seminole-32771,"Deltona, Orlando, Sanford",3563,3563,0.0106907301158117,0.685413962738443
389,32773,740,59,Seminole,Seminole-32773,Sanford,"Sanford, Lake Mary, Winter Springs, Black Hammock, Midway",1005,Seminole-32773,"Apopka, Maitland, Orlando, Sandford, Sanford",2183,2183,0.00849185425818177,0.508970469015774
390,32776,741,35,Lake,Lake-32776,Sorrento,"Mount Dora, Mount Plymouth, Sorrento",520,Lake-32776,"Apopka, Mount Plymouth, Sorrento",694,694,0.0108188920078192,0.702150702286352
391,32776,742,48,Orange,Orange-32776,Sorrento,"Apopka, Mount Plymouth",710,Orange-32776,Sorrento,<5,-2,7.85679983437149E-05,0.182048679511398
392,32778,744,35,Lake,Lake-32778,Tavares,"Tavares, Astatula, Eustis, Leesburg, Mount Dora, Yalaha",521,Lake-32778,"Apopka, Deer Island, Maitland, Tangerine, Tavares",1770,1770,0.00987970848132136,0.636997272615145
393,32779,746,59,Seminole,Seminole-32779,Longwood,"Altamonte Springs, Lake Mary, Longwood, Forest City, Wekiwa Springs",1006,Seminole-32779,"Longwood, Orlando, Tangerine, Wekiva Springs, Wekiwa Springs",1749,1749,0.00491156443945329,0.372395839166425
394,32780,747,5,Brevard,Brevard-32780,Titusville,"Titusville, Port St. John",49,Brevard-32780,"Orlando, Titusville",1636,1636,0.00958676426034799,0.641720384007762
395,32784,749,35,Lake,Lake-32784,Umatilla,"Eustis, Umatilla, Altoona",522,Lake-32784,Umatilla,603,603,0.0109370072389083,0.860512806782461
396,32784,750,42,Marion,Marion-32784,Umatilla,Umatilla,642,Marion-32784,Umatilla,8,8,0.00900803241052017,0.537941861073043
397,32789,751,48,Orange,Orange-32789,Winter Park,"Eatonville, Maitland, Orlando, Winter Park, Fairview Shores",711,Orange-32789,"Orlando, Winter Park",1767,1767,0.00232688929190772,0.296316415179359
398,32792,753,48,Orange,Orange-32792,Winter Park,"Orlando, Casselberry, Winter Park, Goldenrod",712,Orange-32792,"Aloma, Winter Park, Winter Park Dr",2627,2627,0.0014299242980087,0.273097113239739
399,32792,754,59,Seminole,Seminole-32792,Winter Park,"Casselberry, Winter Park, Goldenrod",1007,Seminole-32792,"Orlando, Winter Park",257,257,0.00155921457735531,0.222238235116112
400,32796,755,5,Brevard,Brevard-32796,Titusville,"Titusville, Mims",50,Brevard-32796,Titusville,813,813,0.0099209419536237,0.692389663955313
401,32798,759,48,Orange,Orange-32798,Zellwood,"Apopka, Tangerine, Zellwood",713,Orange-32798,Zellwood,169,169,0.000638302840798133,0.141612299259336
402,32801,760,48,Orange,Orange-32801,Orlando,Orlando,714,Orange-32801,Orlando,1679,1679,0.000560531163955602,0.142198454519211
403,32803,761,48,Orange,Orange-32803,Orlando,"Orlando, Winter Park, Fairview Shores",715,Orange-32803,Orlando,1874,1874,0.00184835401751116,0.247280612569489
404,32804,762,48,Orange,Orange-32804,Orlando,"Orlando, Fairview Shores",716,Orange-32804,"Miami, Orlando",1620,1620,0.0019311745320465,0.212634192766569
405,32805,763,48,Orange,Orange-32805,Orlando,"Orlando, Holden Heights",717,Orange-32805,Orlando,1670,1670,0.001967822053075,0.243928756775712
406,32806,764,48,Orange,Orange-32806,Orlando,"Belle Isle, Edgewood, Orlando, Conway, Holden Heights",718,Orange-32806,Orlando,1894,1894,0.00183328044931841,0.232891424786051
407,32807,765,48,Orange,Orange-32807,Orlando,"Orlando, Winter Park, Azalea Park",719,Orange-32807,"Azalea Park, Longwood, Orlando",2935,2935,0.00204134791965771,0.262670854897833
408,32808,766,48,Orange,Orange-32808,Orlando,"Orlando, Fairview Shores, Lockhart, Orlovista, Pine Hills",720,Orange-32808,"Orlando, Pine Hills",3343,3343,0.0030150361599226,0.262802989753432
409,32809,767,48,Orange,Orange-32809,Orlando,"Belle Isle, Edgewood, Orlando, Oak Ridge, Pine Castle, Sky Lake",721,Orange-32809,"Belle Isle, Edgewood, Orlando, Pine Castle",2415,2415,0.00300179275745904,0.437552447993456
410,32810,768,48,Orange,Orange-32810,Orlando,"Altamonte Springs, Eatonville, Maitland, Orlando, Clarcona, Fairview Shores, Lockhart, Pine Hills",722,Orange-32810,"Lockhart, Maitland, Orlando",2229,2229,0.00236798082619316,0.334482766995643
411,32811,770,48,Orange,Orange-32811,Orlando,"Orlando, Orlovista",723,Orange-32811,"Orlando, Orlo Vista",3415,3415,0.00184193288396273,0.206640493173522
412,32812,771,48,Orange,Orange-32812,Orlando,"Belle Isle, Orlando, Conway",724,Orange-32812,"Belle Isle, Orlando",2552,2552,0.00228924615521464,0.313208296293214
413,32814,772,48,Orange,Orange-32814,Orlando,"Orlando, Winter Park",725,Orange-32814,Orlando,645,645,0.000361096985670883,0.107828831833708
414,32815,773,5,Brevard,Brevard-32815,Orlando,Orlando,51,Brevard-32815,Orlando,<5,-2,0.0331632699924285,1.42946364745098
415,32816,775,48,Orange,Orange-32816,Orlando,"Orlando, University",726,Orange-32816,"Alafaya, Orlando, University Of Central Fl, University Of Central Florida",759,759,0.000212890173997948,0.0657084683178237
416,32817,777,48,Orange,Orange-32817,Orlando,"Alafaya, Goldenrod, Union Park, University",727,Orange-32817,"Orlando, Union Park",2488,2488,0.00302108045571003,0.288255575252823
417,32818,779,48,Orange,Orange-32818,Orlando,"Ocoee, Clarcona, Orlovista, Pine Hills",728,Orange-32818,"Hiawassee, Orlando, Pine Hills",3021,3021,0.00293279713105221,0.442922031244114
418,32819,780,48,Orange,Orange-32819,Orlando,"Orlando, Bay Hill, Doctor Phillips, Lake Butler, Tangelo Park, Williamsburg",729,Orange-32819,"Orlando, Sand Lake",3066,3066,0.00564997773858522,0.488018223661909
419,32820,781,48,Orange,Orange-32820,Orlando,"Bithlo, Christmas",730,Orange-32820,"Alafaya, Orlando",555,555,0.00637455743549253,0.38876824218481
420,32821,782,48,Orange,Orange-32821,Orlando,"Bay Lake, Lake Buena Vista, Williamsburg",731,Orange-32821,"Bay Lake, Orlando",2278,2278,0.00320893663115385,0.349343740458339
421,32822,784,48,Orange,Orange-32822,Orlando,"Orlando, Azalea Park, Conway",732,Orange-32822,Orlando,5628,5628,0.00324472598299508,0.346997556134802
422,32824,785,48,Orange,Orange-32824,Orlando,"Belle Isle, Orlando, Meadow Woods, Southchase, Taft",733,Orange-32824,Orlando,5965,5965,0.007668410040651,0.553594974565406
423,32825,787,48,Orange,Orange-32825,Orlando,"Alafaya, Rio Pinar, Union Park, University",734,Orange-32825,"Alafaya, Maitland, Orlando",5015,5015,0.00552262452515606,0.478344772188479
424,32826,788,48,Orange,Orange-32826,Orlando,"Alafaya, University",735,Orange-32826,"Alafaya, Orlando",1928,1928,0.00205482126011702,0.249116736099013
425,32827,790,48,Orange,Orange-32827,Orlando,Orlando,736,Orange-32827,Orlando,1371,1371,0.00696709263615958,0.497042732221224
426,32828,792,48,Orange,Orange-32828,Orlando,"Alafaya, Bithlo, University, Wedgefield",737,Orange-32828,"Alafaya, Orlando",4826,4826,0.00517594660868781,0.379507284737692
427,32829,793,48,Orange,Orange-32829,Orlando,"Orlando, Alafaya, Rio Pinar",738,Orange-32829,Orlando,1760,1760,0.00453117904544342,0.376391853379633
428,32830,794,48,Orange,Orange-32830,Orlando,"Bay Lake, Lake Buena Vista, Horizon West",739,Orange-32830,"Lake Buena Vista, Orlando",91,91,0.00578257628080792,0.460133041498469
429,32831,796,48,Orange,Orange-32831,Orlando,"Orlando, Alafaya, Wedgefield",740,Orange-32831,"Alafaya, Orlando",310,310,0.00181774131806378,0.246921790033116
430,32832,797,48,Orange,Orange-32832,Orlando,"Orlando, Alafaya, Lake Hart, Lake Mary Jane, Wedgefield",741,Orange-32832,Orlando,2699,2699,0.0157655019856975,0.524413929212476
431,32833,799,48,Orange,Orange-32833,Orlando,"Alafaya, Bithlo, Christmas, Wedgefield",742,Orange-32833,"Alafaya, Orlando",607,607,0.0151780962205521,0.636665903715714
432,32835,800,48,Orange,Orange-32835,Orlando,"Orlando, Gotha, Lake Butler, Orlovista",743,Orange-32835,Orlando,3444,3444,0.00277924283955144,0.242770456415731
433,32836,801,48,Orange,Orange-32836,Orlando,"Bay Lake, Lake Buena Vista, Bay Hill, Doctor Phillips, Horizon West, Lake Butler",744,Orange-32836,"Golden Oak, Olando, Orlando",1451,1451,0.00402141301424308,0.419175604915412
434,32837,802,48,Orange,Orange-32837,Orlando,"Hunters Creek, Southchase, Williamsburg",745,Orange-32837,Orlando,5328,5328,0.00511869880574523,0.352477399842758
435,32839,804,48,Orange,Orange-32839,Orlando,"Edgewood, Orlando, Holden Heights, Oak Ridge, Pine Castle, Sky Lake",746,Orange-32839,"Edgewood, Maitland, Orlando, Pine Castle",4147,4147,0.00216979835818165,0.248164947530484
436,32901,805,5,Brevard,Brevard-32901,Melbourne,"Melbourne, Palm Bay, West Melbourne",52,Brevard-32901,Melbourne,2004,2004,0.00303416871770423,0.356261767428128
437,32903,806,5,Brevard,Brevard-32903,Indialantic,"Melbourne, Indialantic, Indian Harbour Beach",53,Brevard-32903,"Indialantic, Melbourne, University Of Central Florida",713,713,0.000904437543567838,0.234407248409793
438,32904,807,5,Brevard,Brevard-32904,Melbourne,"Melbourne Village, Melbourne, Palm Bay, West Melbourne, June Park",54,Brevard-32904,"Melbourne, Orlando, West Melbourne",2413,2413,0.0151393989003736,1.05526251360421
439,32905,808,5,Brevard,Brevard-32905,Palm Bay,"Melbourne, Palm Bay, Malabar, West Melbourne",55,Brevard-32905,"Melbourne, Palm Bay",1483,1483,0.00230861109025682,0.278607261129315
440,32907,809,5,Brevard,Brevard-32907,Palm Bay,"Palm Bay, Malabar, West Melbourne",56,Brevard-32907,"Melbourne, Palm Bay",2797,2797,0.00563760178420125,0.446059701858643
441,32908,810,5,Brevard,Brevard-32908,Palm Bay,Palm Bay,57,Brevard-32908,"Melbourne, Palm Bay",922,922,0.00827510087060546,0.458988246755443
442,32909,811,5,Brevard,Brevard-32909,Palm Bay,"Palm Bay, Malabar, Grant-Valkaria",58,Brevard-32909,"Grant Valkaria, Melbourne, Palm Bay",2323,2323,0.0136994285071523,0.625311407376648
443,32920,813,5,Brevard,Brevard-32920,Cape Canaveral,"Cape Canaveral, Cocoa Beach",59,Brevard-32920,"Cape Canaveral, Orlando, Port Canaveral",420,420,0.00132751377418572,0.256550239590662
444,32922,814,5,Brevard,Brevard-32922,Cocoa,"Rockledge, Cocoa, Cocoa West",60,Brevard-32922,Cocoa,1014,1014,0.00132439736989909,0.229803818273794
445,32925,815,5,Brevard,Brevard-32925,Patrick Afb,"Patrick AFB, South Patrick Shores",61,Brevard-32925,Patrick Air Force Base,71,71,0.00760270583191414,0.988697102321265
446,32926,816,5,Brevard,Brevard-32926,Cocoa,"Rockledge, Cocoa, Cocoa West, Port St. John, Sharpes",62,Brevard-32926,Cocoa,885,885,0.013535223148665,0.77418555648141
447,32927,818,5,Brevard,Brevard-32927,Cocoa,"Titusville, Port St. John, Sharpes",63,Brevard-32927,"Cocoa, Port Saint John",1065,1065,0.00630013102932026,0.404908963434001
448,32931,819,5,Brevard,Brevard-32931,Cocoa Beach,"Cape Canaveral, Cocoa Beach",64,Brevard-32931,Cocoa Beach,716,716,0.00135443584417771,1.25311631388417
449,32934,820,5,Brevard,Brevard-32934,Melbourne,"Melbourne, West Melbourne",65,Brevard-32934,"Eau Gallie, Melbourne",1062,1062,0.00648438180292032,0.407117377516216
450,32935,821,5,Brevard,Brevard-32935,Melbourne,"Palm Shores, Melbourne",66,Brevard-32935,"Melbourne, Winter Park",2108,2108,0.00286206573036907,0.317976437370609
451,32937,822,5,Brevard,Brevard-32937,Satellite Beach,"Satellite Beach, Melbourne, Indian Harbour Beach, Merritt Island, Patrick AFB, South Patrick Shores",67,Brevard-32937,"Indian Harbour Beach, Melbourne, Satellite Beach",1386,1386,0.0016961695041573,0.334736897501858
452,32940,823,5,Brevard,Brevard-32940,Melbourne,"Palm Shores, Melbourne, Viera East, Viera West",68,Brevard-32940,"Macon, Melbourne, Palm Bay, Palm Shores, University Of Central Florida, Viera",2204,2204,0.00536207081745488,0.389575599392495
453,32948,824,5,Brevard,Brevard-32948,Fellsmere,Fellsmere,69,Brevard-32948,Fellsmere,<5,-2,0.00272095398577221,0.32649445571304
